Column1;Column2;Column3
1615603305;1.7;2021-03-13 03:41
1615604505;1.6;2021-03-13 04:01
1615605513;1.7;2021-03-13 04:18
1615606713;1.6;2021-03-13 04:38
1615607529;1.6;2021-03-13 04:52
1615608873;1.8;2021-03-13 05:14
1615609785;2.2;2021-03-13 05:29
1615610697;2.3;2021-03-13 05:44
1615611465;2.4;2021-03-13 05:57
1615612377;2.6;2021-03-13 06:12
1615613577;2.8;2021-03-13 06:32
1615614297;2.9;2021-03-13 06:44
1615614921;2.8;2021-03-13 06:55
1615615593;3.1;2021-03-13 07:06
1615616409;3;2021-03-13 07:20
1615617033;3.1;2021-03-13 07:30
1615617705;3.2;2021-03-13 07:41
1615618329;3.4;2021-03-13 07:52
1615619097;3.5;2021-03-13 08:04
1615619721;3.6;2021-03-13 08:15
1615620345;3.8;2021-03-13 08:25
1615621113;3.8;2021-03-13 08:38
1615621785;4;2021-03-13 08:49
1615622457;4.2;2021-03-13 09:00
1615623081;4.6;2021-03-13 09:11
1615623993;4.8;2021-03-13 09:26
1615624713;5;2021-03-13 09:38
1615625337;5.5;2021-03-13 09:48
1615626153;5.8;2021-03-13 10:02
1615626777;6;2021-03-13 10:12
1615627449;6.2;2021-03-13 10:24
1615628217;6.4;2021-03-13 10:36
1615628841;6.7;2021-03-13 10:47
1615629465;7.4;2021-03-13 10:57
1615630137;7;2021-03-13 11:08
1615631001;7.2;2021-03-13 11:23
1615631673;7.3;2021-03-13 11:34
1615632297;7.9;2021-03-13 11:44
1615632921;8.1;2021-03-13 11:55
1615633545;7.9;2021-03-13 12:05
1615634265;8;2021-03-13 12:17
1615634889;8.3;2021-03-13 12:28
1615635657;8.3;2021-03-13 12:40
1615636377;8.5;2021-03-13 12:52
1615637049;8.8;2021-03-13 13:04
1615637673;8.5;2021-03-13 13:14
1615638393;8.5;2021-03-13 13:26
1615639065;8.4;2021-03-13 13:37
1615639737;7.7;2021-03-13 13:48
1615640361;7.7;2021-03-13 13:59
1615640985;7.9;2021-03-13 14:09
1615641609;6.8;2021-03-13 14:20
1615642233;6.8;2021-03-13 14:30
1615642905;7.2;2021-03-13 14:41
1615643577;7.4;2021-03-13 14:52
1615644201;7.3;2021-03-13 15:03
1615644921;7.6;2021-03-13 15:15
1615645593;7.2;2021-03-13 15:26
1615646217;7.3;2021-03-13 15:36
1615646841;7.2;2021-03-13 15:47
1615647465;7;2021-03-13 15:57
1615648089;6.8;2021-03-13 16:08
1615648809;6.8;2021-03-13 16:20
1615649433;6.3;2021-03-13 16:30
1615650153;5.9;2021-03-13 16:42
1615650825;6.2;2021-03-13 16:53
1615651497;5.7;2021-03-13 17:04
1615652265;5.9;2021-03-13 17:17
1615652937;5.6;2021-03-13 17:28
1615653609;5.6;2021-03-13 17:40
1615654281;5.6;2021-03-13 17:51
1615655145;5.4;2021-03-13 18:05
1615655817;5.3;2021-03-13 18:16
1615656537;4.9;2021-03-13 18:28
1615657161;5.1;2021-03-13 18:39
1615657785;4.7;2021-03-13 18:49
1615658457;4.6;2021-03-13 19:00
1615659129;4.6;2021-03-13 19:12
1615659753;4.8;2021-03-13 19:22
1615701416;2.4;2021-03-14 06:56
1615704056;2.5;2021-03-14 07:40
1615704680;2.7;2021-03-14 07:51
1615705352;2.7;2021-03-14 08:02
1615706216;2.9;2021-03-14 08:16
1615706840;2.6;2021-03-14 08:27
1615707608;2.9;2021-03-14 08:40
1615708232;2.8;2021-03-14 08:50
1615709000;3;2021-03-14 09:03
1615709624;2.9;2021-03-14 09:13
1615710344;2.8;2021-03-14 09:25
1615711112;3.1;2021-03-14 09:38
1615711784;3.1;2021-03-14 09:49
1615712504;3.1;2021-03-14 10:01
1615713128;3;2021-03-14 10:12
1615713800;3.8;2021-03-14 10:23
1615714424;3.6;2021-03-14 10:33
1615715048;4;2021-03-14 10:44
1615715672;4.1;2021-03-14 10:54
1615716344;4.1;2021-03-14 11:05
1615716968;4.2;2021-03-14 11:16
1615717592;4.7;2021-03-14 11:26
1615718216;4.9;2021-03-14 11:36
1615718888;5.2;2021-03-14 11:48
1615719560;5.2;2021-03-14 11:59
1615720424;5.7;2021-03-14 12:13
1615721144;6;2021-03-14 12:25
1615721768;6;2021-03-14 12:36
1615722392;6.1;2021-03-14 12:46
1615723016;5.9;2021-03-14 12:56
1615723928;6;2021-03-14 13:12
1615724552;6.3;2021-03-14 13:22
1615725176;6.2;2021-03-14 13:32
1615726136;6.3;2021-03-14 13:48
1615726904;6.7;2021-03-14 14:01
1615727576;6.8;2021-03-14 14:12
1615728248;7;2021-03-14 14:24
1615729016;7;2021-03-14 14:36
1615729688;6.9;2021-03-14 14:48
1615730360;7;2021-03-14 14:59
1615730984;7.1;2021-03-14 15:09
1615731800;7;2021-03-14 15:23
1615732424;7;2021-03-14 15:33
1615733048;6.8;2021-03-14 15:44
1615734104;6.8;2021-03-14 16:01
1615734872;7.1;2021-03-14 16:14
1615735592;6.8;2021-03-14 16:26
1615736456;6.9;2021-03-14 16:40
1615737128;6.7;2021-03-14 16:52
1615737896;6.7;2021-03-14 17:04
1615738520;6.9;2021-03-14 17:15
1615739144;6.7;2021-03-14 17:25
1615739816;6.3;2021-03-14 17:36
1615740488;6.3;2021-03-14 17:48
1615741208;6.2;2021-03-14 18:00
1615741832;6.1;2021-03-14 18:10
1615742456;6.2;2021-03-14 18:20
1615743128;5.7;2021-03-14 18:32
1615743752;5.8;2021-03-14 18:42
1615744472;5.7;2021-03-14 18:54
1615745144;5.5;2021-03-14 19:05
1615745912;5.8;2021-03-14 19:18
1615746584;5.8;2021-03-14 19:29
1615747208;5.5;2021-03-14 19:40
1615747832;5.1;2021-03-14 19:50
1615748600;5.2;2021-03-14 20:03
1615749320;5.3;2021-03-14 20:15
1615749992;5.2;2021-03-14 20:26
1615750616;4.9;2021-03-14 20:36
1615751288;4.9;2021-03-14 20:48
1615752056;4.8;2021-03-14 21:00
1615752680;4.9;2021-03-14 21:11
1615753304;4.9;2021-03-14 21:21
1615754504;4.5;2021-03-14 21:41
1615755176;4.3;2021-03-14 21:52
1615756472;4.2;2021-03-14 22:14
1615757240;4.5;2021-03-14 22:27
1615757912;4.1;2021-03-14 22:38
1615758536;4.1;2021-03-14 22:48
1615759256;3.8;2021-03-14 23:00
1615759928;3.7;2021-03-14 23:12
1615760744;3.6;2021-03-14 23:25
1615761368;3.5;2021-03-14 23:36
1615761992;3.6;2021-03-14 23:46
1615762760;3.7;2021-03-14 23:59
1615763576;3.4;2021-03-15 00:12
1615764200;3.3;2021-03-15 00:23
1615764920;3.4;2021-03-15 00:35
1615765880;3.6;2021-03-15 00:51
1615766648;3.6;2021-03-15 01:04
1615767272;3.5;2021-03-15 01:14
1615768088;3.6;2021-03-15 01:28
1615768712;3.6;2021-03-15 01:38
1615769336;3.4;2021-03-15 01:48
1615769960;3.4;2021-03-15 01:59
1615770632;3.4;2021-03-15 02:10
1615771496;3.5;2021-03-15 02:24
1615772168;3.6;2021-03-15 02:36
1615772840;3.5;2021-03-15 02:47
1615773752;3.5;2021-03-15 03:02
1615774424;3.1;2021-03-15 03:13
1615775096;3.4;2021-03-15 03:24
1615775768;3.4;2021-03-15 03:36
1615776392;3.3;2021-03-15 03:46
1615777016;3.3;2021-03-15 03:56
1615777976;3.5;2021-03-15 04:12
1615778600;3.4;2021-03-15 04:23
1615779224;3.3;2021-03-15 04:33
1615779944;3.2;2021-03-15 04:45
1615780616;2.9;2021-03-15 04:56
1615781336;2.9;2021-03-15 05:08
1615782008;2.9;2021-03-15 05:20
1615782632;2.9;2021-03-15 05:30
1615783352;2.8;2021-03-15 05:42
1615784072;2.7;2021-03-15 05:54
1615784696;2.6;2021-03-15 06:04
1615785416;2.5;2021-03-15 06:16
1615786232;2.6;2021-03-15 06:30
1615786856;2.8;2021-03-15 06:40
1615787480;2.5;2021-03-15 06:51
1615788152;2.8;2021-03-15 07:02
1615788776;2.6;2021-03-15 07:12
1615789496;2.7;2021-03-15 07:24
1615790120;2.6;2021-03-15 07:35
1615790744;2.6;2021-03-15 07:45
1615791416;2.6;2021-03-15 07:56
1615792040;2.9;2021-03-15 08:07
1615792712;3.2;2021-03-15 08:18
1615793336;3.3;2021-03-15 08:28
1615794056;3.5;2021-03-15 08:40
1615794920;3.9;2021-03-15 08:55
1615795544;4.1;2021-03-15 09:05
1615796168;4.1;2021-03-15 09:16
1615796792;4;2021-03-15 09:26
1615797560;3.8;2021-03-15 09:39
1615798184;3.8;2021-03-15 09:49
1615798808;3.6;2021-03-15 10:00
1615799480;3.8;2021-03-15 10:11
1615800104;3.4;2021-03-15 10:21
1615800728;3.8;2021-03-15 10:32
1615801400;4.1;2021-03-15 10:43
1615802024;4;2021-03-15 10:53
1615802648;4.1;2021-03-15 11:04
1615803272;4.5;2021-03-15 11:14
1615803896;4.6;2021-03-15 11:24
1615804520;4.7;2021-03-15 11:35
1615805192;5.1;2021-03-15 11:46
1615805816;5;2021-03-15 11:56
1615806632;4.9;2021-03-15 12:10
1615807304;4.8;2021-03-15 12:21
1615807976;5.1;2021-03-15 12:32
1615808696;4.9;2021-03-15 12:44
1615809368;4.3;2021-03-15 12:56
1615809992;4.5;2021-03-15 13:06
1615810664;4.2;2021-03-15 13:17
1615811288;4.2;2021-03-15 13:28
1615811912;4.2;2021-03-15 13:38
1615812728;4.1;2021-03-15 13:52
1615813352;4.1;2021-03-15 14:02
1615814024;4.1;2021-03-15 14:13
1615814648;4.1;2021-03-15 14:24
1615815272;4.1;2021-03-15 14:34
1615815896;3.7;2021-03-15 14:44
1615816520;3.4;2021-03-15 14:55
1615817192;3.6;2021-03-15 15:06
1615817864;3.6;2021-03-15 15:17
1615818680;3.4;2021-03-15 15:31
1615819400;3.6;2021-03-15 15:43
1615820072;3.6;2021-03-15 15:54
1615820936;3.6;2021-03-15 16:08
1615821560;3.6;2021-03-15 16:19
1615822184;3.4;2021-03-15 16:29
1615822808;3.6;2021-03-15 16:40
1615823480;3.7;2021-03-15 16:51
1615824104;3.6;2021-03-15 17:01
1615824728;3.4;2021-03-15 17:12
1615825352;3.7;2021-03-15 17:22
1615825976;3.8;2021-03-15 17:32
1615826600;3.7;2021-03-15 17:43
1615827272;3.8;2021-03-15 17:54
1615828088;3.4;2021-03-15 18:08
1615828712;3.2;2021-03-15 18:18
1615829335;3.6;2021-03-15 18:28
1615830056;3.4;2021-03-15 18:40
1615830775;3.5;2021-03-15 18:52
1615831399;3.4;2021-03-15 19:03
1615832167;3.4;2021-03-15 19:16
1615832791;3.5;2021-03-15 19:26
1615833415;3.4;2021-03-15 19:36
1615834231;3.5;2021-03-15 19:50
1615834951;3.4;2021-03-15 20:02
1615835575;3.1;2021-03-15 20:12
1615836199;2.9;2021-03-15 20:23
1615836823;3.1;2021-03-15 20:33
1615837447;3.3;2021-03-15 20:44
1615838167;3.3;2021-03-15 20:56
1615839079;3.2;2021-03-15 21:11
1615839991;3;2021-03-15 21:26
1615840711;3.3;2021-03-15 21:38
1615841623;3.1;2021-03-15 21:53
1615842295;3.3;2021-03-15 22:04
1615842967;3.6;2021-03-15 22:16
1615843591;3.5;2021-03-15 22:26
1615844311;3.6;2021-03-15 22:38
1615844935;3.8;2021-03-15 22:48
1615845559;3.9;2021-03-15 22:59
1615846231;3.4;2021-03-15 23:10
1615846855;3.3;2021-03-15 23:20
1615847479;2.8;2021-03-15 23:31
1615848103;2.4;2021-03-15 23:41
1615848775;2.4;2021-03-15 23:52
1615849399;2.2;2021-03-16 00:03
1615850119;2.2;2021-03-16 00:15
1615850791;2.2;2021-03-16 00:26
1615851415;2;2021-03-16 00:36
1615852039;1.9;2021-03-16 00:47
1615852663;1.7;2021-03-16 00:57
1615853479;1.5;2021-03-16 01:11
1615854247;1.6;2021-03-16 01:24
1615854967;1.3;2021-03-16 01:36
1615855639;1.4;2021-03-16 01:47
1615856311;1.1;2021-03-16 01:58
1615857031;1;2021-03-16 02:10
1615857655;0.8;2021-03-16 02:20
1615858279;0.9;2021-03-16 02:31
1615858903;1;2021-03-16 02:41
1615859527;0.7;2021-03-16 02:52
1615860199;0.7;2021-03-16 03:03
1615860823;0.7;2021-03-16 03:13
1615861447;0.6;2021-03-16 03:24
1615862119;0.4;2021-03-16 03:35
1615862743;0.5;2021-03-16 03:45
1615863367;0.7;2021-03-16 03:56
1615864039;0.4;2021-03-16 04:07
1615864663;0.3;2021-03-16 04:17
1615865335;0.2;2021-03-16 04:28
1615866055;0.2;2021-03-16 04:40
1615866919;0.2;2021-03-16 04:55
1615867735;0.1;2021-03-16 05:08
1615868455;-0.1;2021-03-16 05:20
1615869223;-0.1;2021-03-16 05:33
1615869847;-0.2;2021-03-16 05:44
1615870567;0.1;2021-03-16 05:56
1615871287;0.1;2021-03-16 06:08
1615872103;0.4;2021-03-16 06:21
1615872775;0.5;2021-03-16 06:32
1615873399;0.6;2021-03-16 06:43
1615874263;0.2;2021-03-16 06:57
1615874887;0.5;2021-03-16 07:08
1615875511;0.7;2021-03-16 07:18
1615876135;0.6;2021-03-16 07:28
1615876807;0.7;2021-03-16 07:40
1615877479;1;2021-03-16 07:51
1615878151;1.3;2021-03-16 08:02
1615878919;1.8;2021-03-16 08:15
1615879831;2.3;2021-03-16 08:30
1615880455;2.3;2021-03-16 08:40
1615881079;3.1;2021-03-16 08:51
1615881751;2.9;2021-03-16 09:02
1615882423;2.4;2021-03-16 09:13
1615883095;2.9;2021-03-16 09:24
1615883863;3;2021-03-16 09:37
1615884487;3.2;2021-03-16 09:48
1615885159;3.3;2021-03-16 09:59
1615885927;3.7;2021-03-16 10:12
1615886599;3.8;2021-03-16 10:23
1615887223;3.8;2021-03-16 10:33
1615887943;4;2021-03-16 10:45
1615888567;4.1;2021-03-16 10:56
1615889191;4.3;2021-03-16 11:06
1615889815;4.3;2021-03-16 11:16
1615890439;4.7;2021-03-16 11:27
1615891159;4.9;2021-03-16 11:39
1615891927;5;2021-03-16 11:52
1615892551;5.3;2021-03-16 12:02
1615893367;5.4;2021-03-16 12:16
1615894279;5.7;2021-03-16 12:31
1615894903;5.4;2021-03-16 12:41
1615895575;5.8;2021-03-16 12:52
1615896199;5.9;2021-03-16 13:03
1615896823;6.1;2021-03-16 13:13
1615897447;5.9;2021-03-16 13:24
1615898071;5.8;2021-03-16 13:34
1615898695;6.2;2021-03-16 13:44
1615899415;6.3;2021-03-16 13:56
1615900039;6.5;2021-03-16 14:07
1615900711;6.7;2021-03-16 14:18
1615901383;6.9;2021-03-16 14:29
1615902007;6.9;2021-03-16 14:40
1615902679;7.1;2021-03-16 14:51
1615903303;6.8;2021-03-16 15:01
1615903927;7.1;2021-03-16 15:12
1615904599;7.1;2021-03-16 15:23
1615905223;7.1;2021-03-16 15:33
1615905847;6.7;2021-03-16 15:44
1615906567;7.1;2021-03-16 15:56
1615907479;6.7;2021-03-16 16:11
1615908199;6.8;2021-03-16 16:23
1615908871;7;2021-03-16 16:34
1615909639;6.7;2021-03-16 16:47
1615910359;6.5;2021-03-16 16:59
1615910983;6.5;2021-03-16 17:09
1615911751;6.4;2021-03-16 17:22
1615912567;6.3;2021-03-16 17:36
1615913239;6;2021-03-16 17:47
1615913863;5.8;2021-03-16 17:57
1615914535;5.7;2021-03-16 18:08
1615915303;5.6;2021-03-16 18:21
1615915927;5.4;2021-03-16 18:32
1615916599;4.8;2021-03-16 18:43
1615917223;4.8;2021-03-16 18:53
1615918039;4.7;2021-03-16 19:07
1615918663;4.6;2021-03-16 19:17
1615919335;4.8;2021-03-16 19:28
1615920007;4.4;2021-03-16 19:40
1615920631;4.4;2021-03-16 19:50
1615921399;4.3;2021-03-16 20:03
1615922023;4.5;2021-03-16 20:13
1615922839;4.3;2021-03-16 20:27
1615923751;4.4;2021-03-16 20:42
1615924615;4.4;2021-03-16 20:56
1615925239;4.4;2021-03-16 21:07
1615925959;4.3;2021-03-16 21:19
1615926583;4.2;2021-03-16 21:29
1615927255;4.2;2021-03-16 21:40
1615927879;4;2021-03-16 21:51
1615928599;4.2;2021-03-16 22:03
1615929367;4;2021-03-16 22:16
1615929991;3.8;2021-03-16 22:26
1615930615;3.9;2021-03-16 22:36
1615931335;4;2021-03-16 22:48
1615931959;3.8;2021-03-16 22:59
1615932631;3.7;2021-03-16 23:10
1615933495;3.6;2021-03-16 23:24
1615934215;3.2;2021-03-16 23:36
1615935079;3.1;2021-03-16 23:51
1615935751;3.2;2021-03-17 00:02
1615936519;3;2021-03-17 00:15
1615937191;2.9;2021-03-17 00:26
1615937863;2.9;2021-03-17 00:37
1615938487;2.7;2021-03-17 00:48
1615939159;2.8;2021-03-17 00:59
1615939783;2.6;2021-03-17 01:09
1615940455;2.1;2021-03-17 01:20
1615941079;1.9;2021-03-17 01:31
1615941703;1.8;2021-03-17 01:41
1615942423;1.4;2021-03-17 01:53
1615943047;1.3;2021-03-17 02:04
1615943719;1.1;2021-03-17 02:15
1615944343;1.3;2021-03-17 02:25
1615945255;1.1;2021-03-17 02:40
1615945879;1.1;2021-03-17 02:51
1615946551;1;2021-03-17 03:02
1615947175;0.7;2021-03-17 03:12
1615947847;0.7;2021-03-17 03:24
1615948471;0.7;2021-03-17 03:34
1615949095;0.8;2021-03-17 03:44
1615949815;1;2021-03-17 03:56
1615950439;1.1;2021-03-17 04:07
1615951159;0.7;2021-03-17 04:19
1615951783;1.1;2021-03-17 04:29
1615952647;0.6;2021-03-17 04:44
1615953271;0.5;2021-03-17 04:54
1615953895;0.4;2021-03-17 05:04
1615954519;0.5;2021-03-17 05:15
1615955143;0.9;2021-03-17 05:25
1615955767;0.8;2021-03-17 05:36
1615956391;0.7;2021-03-17 05:46
1615957015;0.7;2021-03-17 05:56
1615957687;1.2;2021-03-17 06:08
1615958407;1.1;2021-03-17 06:20
1615959031;1.2;2021-03-17 06:30
1615959703;1.2;2021-03-17 06:41
1615960327;1.4;2021-03-17 06:52
1615960999;1.5;2021-03-17 07:03
1615961719;2;2021-03-17 07:15
1615962343;2.2;2021-03-17 07:25
1615963159;2.4;2021-03-17 07:39
1615963831;2.8;2021-03-17 07:50
1615964599;3.2;2021-03-17 08:03
1615965223;3.2;2021-03-17 08:13
1615965895;3.5;2021-03-17 08:24
1615966519;3.4;2021-03-17 08:35
1615967143;3.6;2021-03-17 08:45
1615967767;3.4;2021-03-17 08:56
1615968391;3.2;2021-03-17 09:06
1615969015;3.6;2021-03-17 09:16
1615969639;3.8;2021-03-17 09:27
1615970407;3.7;2021-03-17 09:40
1615971127;3.9;2021-03-17 09:52
1615971990;4.2;2021-03-17 10:06
1615972615;4.1;2021-03-17 10:16
1615973430;4.3;2021-03-17 10:30
1615974055;4.3;2021-03-17 10:40
1615974774;4.7;2021-03-17 10:52
1615975399;4.7;2021-03-17 11:03
1615976118;4.8;2021-03-17 11:15
1615976838;5.2;2021-03-17 11:27
1615977462;5.3;2021-03-17 11:37
1615978134;5.3;2021-03-17 11:48
1615978758;5.4;2021-03-17 11:59
1615979478;5.7;2021-03-17 12:11
1615980102;5.8;2021-03-17 12:21
1615980726;5.9;2021-03-17 12:32
1615981446;5.9;2021-03-17 12:44
1615982070;6;2021-03-17 12:54
1615982694;6.3;2021-03-17 13:04
1615983318;6.2;2021-03-17 13:15
1615983990;6.2;2021-03-17 13:26
1615984614;6.5;2021-03-17 13:36
1615985334;6.3;2021-03-17 13:48
1615986054;6.2;2021-03-17 14:00
1615986774;6.1;2021-03-17 14:12
1615987542;6.2;2021-03-17 14:25
1615988166;6.2;2021-03-17 14:36
1615988790;6.1;2021-03-17 14:46
1615989414;6.2;2021-03-17 14:56
1615990134;6.2;2021-03-17 15:08
1615990758;6.2;2021-03-17 15:19
1615991478;5.8;2021-03-17 15:31
1615992150;5.9;2021-03-17 15:42
1615992918;5.8;2021-03-17 15:55
1615993542;5.7;2021-03-17 16:05
1615994166;5.6;2021-03-17 16:16
1615994838;5.6;2021-03-17 16:27
1615995510;5.7;2021-03-17 16:38
1615996182;5.5;2021-03-17 16:49
1615996806;5.3;2021-03-17 17:00
1615997430;5.3;2021-03-17 17:10
1615998054;5.3;2021-03-17 17:20
1615998726;5;2021-03-17 17:32
1615999350;4.9;2021-03-17 17:42
1615999974;4.8;2021-03-17 17:52
1616000598;4.5;2021-03-17 18:03
1616001414;4.2;2021-03-17 18:16
1616002230;4;2021-03-17 18:30
1616002902;3.9;2021-03-17 18:41
1616003622;3.9;2021-03-17 18:53
1616004246;3.7;2021-03-17 19:04
1616004966;3.7;2021-03-17 19:16
1616005590;3.6;2021-03-17 19:26
1616006310;3.4;2021-03-17 19:38
1616007222;3.2;2021-03-17 19:53
1616007846;3.3;2021-03-17 20:04
1616008470;3.1;2021-03-17 20:14
1616009094;3.1;2021-03-17 20:24
1616009718;3.1;2021-03-17 20:35
1616010342;3.1;2021-03-17 20:45
1616011014;2.6;2021-03-17 20:56
1616011638;2.7;2021-03-17 21:07
1616012310;2.3;2021-03-17 21:18
1616012934;2.1;2021-03-17 21:28
1616013606;2.1;2021-03-17 21:40
1616014230;1.8;2021-03-17 21:50
1616014854;1.9;2021-03-17 22:00
1616015478;1.7;2021-03-17 22:11
1616016390;1.5;2021-03-17 22:26
1616017014;1.3;2021-03-17 22:36
1616017734;1.3;2021-03-17 22:48
1616018406;1.2;2021-03-17 23:00
1616019222;1;2021-03-17 23:13
1616019942;1;2021-03-17 23:25
1616020614;0.7;2021-03-17 23:36
1616021382;0.5;2021-03-17 23:49
1616022150;0.4;2021-03-18 00:02
1616023014;0.4;2021-03-18 00:16
1616023686;0.7;2021-03-18 00:28
1616024454;0.7;2021-03-18 00:40
1616025078;0.8;2021-03-18 00:51
1616025702;0.9;2021-03-18 01:01
1616026374;1.1;2021-03-18 01:12
1616026998;1.1;2021-03-18 01:23
1616027670;1;2021-03-18 01:34
1616028294;1.1;2021-03-18 01:44
1616028918;1;2021-03-18 01:55
1616029542;0.7;2021-03-18 02:05
1616030166;0.2;2021-03-18 02:16
1616030790;0.2;2021-03-18 02:26
1616031414;0.1;2021-03-18 02:36
1616032038;-0.1;2021-03-18 02:47
1616032662;0;2021-03-18 02:57
1616033286;-0.1;2021-03-18 03:08
1616033910;-0.2;2021-03-18 03:18
1616034534;-0.2;2021-03-18 03:28
1616035158;-0.2;2021-03-18 03:39
1616035782;-0.6;2021-03-18 03:49
1616036502;-0.4;2021-03-18 04:01
1616037126;-0.2;2021-03-18 04:12
1616037798;-0.1;2021-03-18 04:23
1616038614;0.1;2021-03-18 04:36
1616039430;0.3;2021-03-18 04:50
1616040102;0.1;2021-03-18 05:01
1616040918;0.2;2021-03-18 05:15
1616041638;0;2021-03-18 05:27
1616042358;-0.3;2021-03-18 05:39
1616043078;-0.5;2021-03-18 05:51
1616043702;-0.5;2021-03-18 06:01
1616044326;-0.4;2021-03-18 06:12
1616045046;-0.4;2021-03-18 06:24
1616045670;-0.3;2021-03-18 06:34
1616046294;0;2021-03-18 06:44
1616046918;0.1;2021-03-18 06:55
1616047734;0.2;2021-03-18 07:08
1616048550;0.4;2021-03-18 07:22
1616049174;0.4;2021-03-18 07:32
1616049990;0.7;2021-03-18 07:46
